Asia/Kuala_Lumpur,Open,High,Low,Close,Volume
16.05.2025 00:00:00 UTC+08:00,145.581,146.106,144.927,145.719,180705.99
18.05.2025 00:00:00 UTC+08:00,145.382,145.473,145.015,145.241,13604.8
19.05.2025 00:00:00 UTC+08:00,145.241,145.348,144.667,144.984,215999.74
20.05.2025 00:00:00 UTC+08:00,144.986,145.519,144.095,144.325,222701.92
21.05.2025 00:00:00 UTC+08:00,144.323,144.414,143.289,143.701,280350.56
22.05.2025 00:00:00 UTC+08:00,143.697,144.336,142.81,143.865,268586.55
23.05.2025 00:00:00 UTC+08:00,143.865,144.021,142.426,142.599,262894.11
25.05.2025 00:00:00 UTC+08:00,142.602,143.093,142.476,142.834,15538.57
26.05.2025 00:00:00 UTC+08:00,142.833,143.038,142.233,142.635,127911.53
27.05.2025 00:00:00 UTC+08:00,142.629,144.461,142.119,144.143,220428.65
28.05.2025 00:00:00 UTC+08:00,144.142,146.033,143.856,145.727,258111.14
29.05.2025 00:00:00 UTC+08:00,145.727,146.29,143.749,143.76,295134
30.05.2025 00:00:00 UTC+08:00,143.758,144.447,143.443,144.098,263365.85
01.06.2025 00:00:00 UTC+08:00,143.927,144.004,143.731,143.8,7859.41
02.06.2025 00:00:00 UTC+08:00,143.799,143.805,142.382,142.432,246053.78
03.06.2025 00:00:00 UTC+08:00,142.433,144.164,142.428,143.825,198627.18
04.06.2025 00:00:00 UTC+08:00,143.824,144.4,142.536,142.732,202284.15
05.06.2025 00:00:00 UTC+08:00,142.732,143.977,142.574,143.56,243915.6
06.06.2025 00:00:00 UTC+08:00,143.56,145.092,143.533,144.921,209507.65
08.06.2025 00:00:00 UTC+08:00,144.958,144.982,144.607,144.697,5328.81
09.06.2025 00:00:00 UTC+08:00,144.696,144.953,143.979,144.566,141083.51
10.06.2025 00:00:00 UTC+08:00,144.568,145.294,144.407,144.849,146678.76
11.06.2025 00:00:00 UTC+08:00,144.84,145.471,144.121,144.189,173020.12
12.06.2025 00:00:00 UTC+08:00,144.187,144.349,143.078,143.098,182534.83
13.06.2025 00:00:00 UTC+08:00,143.099,144.488,142.796,144.176,241254.58
15.06.2025 00:00:00 UTC+08:00,144.101,144.754,144,144.575,17431.05
16.06.2025 00:00:00 UTC+08:00,144.575,144.879,143.654,144.689,160836.71
17.06.2025 00:00:00 UTC+08:00,144.687,145.44,144.4,145.389,183963.92
18.06.2025 00:00:00 UTC+08:00,145.389,145.447,144.338,144.959,180907.92
19.06.2025 00:00:00 UTC+08:00,144.96,145.773,144.742,145.237,130469.03
20.06.2025 00:00:00 UTC+08:00,145.233,146.219,145.127,146.162,124184.45
22.06.2025 00:00:00 UTC+08:00,146.672,146.854,146.212,146.217,11901.5
23.06.2025 00:00:00 UTC+08:00,146.216,148.031,145.706,145.925,203034.01
24.06.2025 00:00:00 UTC+08:00,145.925,145.941,144.517,144.94,169332.64
25.06.2025 00:00:00 UTC+08:00,144.94,145.95,144.613,144.917,156871.46
26.06.2025 00:00:00 UTC+08:00,144.917,144.97,143.755,144.676,170399.28
27.06.2025 00:00:00 UTC+08:00,144.673,144.951,144.183,144.687,155049.24
29.06.2025 00:00:00 UTC+08:00,144.415,144.674,144.39,144.509,10746.48
30.06.2025 00:00:00 UTC+08:00,144.505,144.767,143.778,143.81,156462.2
01.07.2025 00:00:00 UTC+08:00,143.811,143.936,142.686,143.378,179444.65
02.07.2025 00:00:00 UTC+08:00,143.378,144.247,143.323,143.524,157084.41
03.07.2025 00:00:00 UTC+08:00,143.523,145.235,143.448,144.714,168237.06
04.07.2025 00:00:00 UTC+08:00,144.715,144.795,144.187,144.616,112109.35
06.07.2025 00:00:00 UTC+08:00,144.564,144.644,144.438,144.491,5235.11
07.07.2025 00:00:00 UTC+08:00,144.491,146.243,144.227,145.884,165317.94
08.07.2025 00:00:00 UTC+08:00,145.883,146.978,145.837,146.872,171981.25
09.07.2025 00:00:00 UTC+08:00,146.871,147.184,146.074,146.108,134570.56
10.07.2025 00:00:00 UTC+08:00,146.108,146.788,145.758,146.282,122982.12
11.07.2025 00:00:00 UTC+08:00,146.28,147.529,146.247,147.511,130681.03
13.07.2025 00:00:00 UTC+08:00,147.244,147.582,147.151,147.299,8572.44
14.07.2025 00:00:00 UTC+08:00,147.299,147.891,146.854,147.789,121996.17
15.07.2025 00:00:00 UTC+08:00,147.789,149.022,147.554,148.782,135403.13
16.07.2025 00:00:00 UTC+08:00,148.784,149.191,146.917,147.997,183291.5
17.07.2025 00:00:00 UTC+08:00,147.998,149.091,147.99,148.449,150468.05
18.07.2025 00:00:00 UTC+08:00,148.447,148.889,148.188,148.847,128304.41
20.07.2025 00:00:00 UTC+08:00,147.971,148.669,147.961,148.459,11704.6
21.07.2025 00:00:00 UTC+08:00,148.455,148.562,147.085,147.405,124086.91
22.07.2025 00:00:00 UTC+08:00,147.403,147.95,146.254,146.765,125224.7
23.07.2025 00:00:00 UTC+08:00,146.767,147.219,146.113,146.351,159007.08
24.07.2025 00:00:00 UTC+08:00,146.351,147.243,145.857,147.011,170301.71
25.07.2025 00:00:00 UTC+08:00,147.013,147.945,146.821,147.733,137072.13
27.07.2025 00:00:00 UTC+08:00,147.816,147.882,147.629,147.789,5652.89
28.07.2025 00:00:00 UTC+08:00,147.788,148.64,147.521,148.461,139772.72
29.07.2025 00:00:00 UTC+08:00,148.463,148.812,148.161,148.43,134544.28
30.07.2025 00:00:00 UTC+08:00,148.43,149.546,147.808,149.331,260018.69
31.07.2025 00:00:00 UTC+08:00,149.227,150.882,148.591,150.817,189541.31
01.08.2025 00:00:00 UTC+08:00,150.813,150.919,147.296,147.473,222310.38
03.08.2025 00:00:00 UTC+08:00,147.307,147.389,147.064,147.35,8059.13
04.08.2025 00:00:00 UTC+08:00,147.351,148.091,146.699,146.799,140999.11
05.08.2025 00:00:00 UTC+08:00,146.791,147.838,146.623,147.532,142843.13
06.08.2025 00:00:00 UTC+08:00,147.529,147.889,146.981,147.203,120510.45
07.08.2025 00:00:00 UTC+08:00,147.198,147.713,146.693,146.806,169718.16
08.08.2025 00:00:00 UTC+08:00,146.799,147.906,146.727,147.792,119456.68
10.08.2025 00:00:00 UTC+08:00,147.66,147.836,147.597,147.661,3734.5
11.08.2025 00:00:00 UTC+08:00,147.655,148.254,147.353,148.155,100309.49
12.08.2025 00:00:00 UTC+08:00,148.158,148.521,147.583,147.777,173508.52
13.08.2025 00:00:00 UTC+08:00,147.771,148.171,147.09,147.125,114680.68
14.08.2025 00:00:00 UTC+08:00,147.123,147.965,146.22,147.687,151655.6
15.08.2025 00:00:00 UTC+08:00,147.687,147.732,146.741,147.216,108346.71
17.08.2025 00:00:00 UTC+08:00,147.253,147.39,147.085,147.236,3490.72
18.08.2025 00:00:00 UTC+08:00,147.235,147.987,147.121,147.923,109229.29
19.08.2025 00:00:00 UTC+08:00,147.923,148.116,147.448,147.742,103953.73
20.08.2025 00:00:00 UTC+08:00,147.746,147.822,146.875,147.308,105024.45
21.08.2025 00:00:00 UTC+08:00,147.309,148.457,147.26,148.391,120473.77
22.08.2025 00:00:00 UTC+08:00,148.389,148.78,146.575,147.001,130514.88
24.08.2025 00:00:00 UTC+08:00,147.066,147.303,146.838,147.273,6383.57
25.08.2025 00:00:00 UTC+08:00,147.269,147.94,147.1,147.819,108665.73
26.08.2025 00:00:00 UTC+08:00,147.814,147.91,146.993,147.478,149839.93
27.08.2025 00:00:00 UTC+08:00,147.478,148.187,147.209,147.342,135864.71
28.08.2025 00:00:00 UTC+08:00,147.339,147.494,146.665,146.834,126299.65
29.08.2025 00:00:00 UTC+08:00,146.835,147.412,146.767,147.126,118972.98
31.08.2025 00:00:00 UTC+08:00,147.15,147.191,147.012,147.124,3923.92
01.09.2025 00:00:00 UTC+08:00,147.125,147.381,146.788,147.096,95061.76
02.09.2025 00:00:00 UTC+08:00,147.098,148.947,147.091,148.589,214653.27
03.09.2025 00:00:00 UTC+08:00,148.584,149.139,147.882,147.981,151818.69
04.09.2025 00:00:00 UTC+08:00,147.98,148.778,147.793,148.426,142638.3
05.09.2025 00:00:00 UTC+08:00,148.423,148.442,146.82,147.431,164234.39
07.09.2025 00:00:00 UTC+08:00,148.227,148.474,147.944,148.322,15060.01
08.09.2025 00:00:00 UTC+08:00,148.32,148.58,147.216,147.377,134266.85
09.09.2025 00:00:00 UTC+08:00,147.378,147.472,146.311,147.399,170019.65
10.09.2025 00:00:00 UTC+08:00,147.4,147.651,147.12,147.354,147247.2
11.09.2025 00:00:00 UTC+08:00,147.358,148.208,146.991,147.232,140721.91
12.09.2025 00:00:00 UTC+08:00,147.229,148.074,147.169,147.673,128443.91
14.09.2025 00:00:00 UTC+08:00,147.85,147.9,147.632,147.681,4183.82
15.09.2025 00:00:00 UTC+08:00,147.681,147.693,147.234,147.404,91974.68
16.09.2025 00:00:00 UTC+08:00,147.408,147.541,146.281,146.416,165050.61
17.09.2025 00:00:00 UTC+08:00,146.413,147.052,145.486,146.888,192967.08
18.09.2025 00:00:00 UTC+08:00,146.885,148.269,146.849,147.966,213557.8
19.09.2025 00:00:00 UTC+08:00,147.969,148.288,147.198,148.026,168198.74
21.09.2025 00:00:00 UTC+08:00,148.003,148.113,147.878,148.104,3638.2
22.09.2025 00:00:00 UTC+08:00,148.109,148.382,147.661,147.735,129464.25
23.09.2025 00:00:00 UTC+08:00,147.735,147.934,147.463,147.605,133567.13
24.09.2025 00:00:00 UTC+08:00,147.605,148.927,147.519,148.788,120548.77
25.09.2025 00:00:00 UTC+08:00,148.787,149.962,148.561,149.877,172565.08
26.09.2025 00:00:00 UTC+08:00,149.877,149.955,149.406,149.516,129797.42
28.09.2025 00:00:00 UTC+08:00,149.601,149.601,149.342,149.415,4393.49
29.09.2025 00:00:00 UTC+08:00,149.418,149.424,148.474,148.623,126325.22
30.09.2025 00:00:00 UTC+08:00,148.622,148.847,147.655,148.029,141999.93
01.10.2025 00:00:00 UTC+08:00,148.028,148.228,146.592,147.112,178794.14
02.10.2025 00:00:00 UTC+08:00,147.112,147.518,146.603,147.159,132871.14
03.10.2025 00:00:00 UTC+08:00,147.158,147.822,147.109,147.503,123314.71
05.10.2025 00:00:00 UTC+08:00,149.492,149.662,149.051,149.588,25576.88
06.10.2025 00:00:00 UTC+08:00,149.584,150.481,149.458,150.367,186976.38
07.10.2025 00:00:00 UTC+08:00,150.366,152.102,150.25,152.06,139010.22
08.10.2025 00:00:00 UTC+08:00,152.061,153.002,152.06,152.711,150553.98
09.10.2025 00:00:00 UTC+08:00,152.715,153.279,152.116,153.029,179697.16
10.10.2025 00:00:00 UTC+08:00,153.028,153.168,151.167,151.218,191062.21
12.10.2025 00:00:00 UTC+08:00,151.929,152.281,151.745,152.073,14297.51
13.10.2025 00:00:00 UTC+08:00,152.073,152.463,151.725,152.46,139159.34
14.10.2025 00:00:00 UTC+08:00,152.461,152.615,151.608,151.706,197198.22
15.10.2025 00:00:00 UTC+08:00,151.708,151.834,150.754,150.993,142234.96
16.10.2025 00:00:00 UTC+08:00,150.996,151.404,150.054,150.152,191924.85
17.10.2025 00:00:00 UTC+08:00,150.151,150.668,149.38,150.663,224315.32
19.10.2025 00:00:00 UTC+08:00,150.596,150.969,150.403,150.921,10058.85
20.10.2025 00:00:00 UTC+08:00,150.923,151.208,150.279,150.824,128887.68
21.10.2025 00:00:00 UTC+08:00,150.825,152.179,150.475,151.882,184571.43
22.10.2025 00:00:00 UTC+08:00,151.881,152.049,151.494,151.99,159336.36
23.10.2025 00:00:00 UTC+08:00,151.989,152.8,151.977,152.612,111875.68
24.10.2025 00:00:00 UTC+08:00,152.615,153.063,152.286,152.898,111357.06
26.10.2025 00:00:00 UTC+08:00,152.873,153.181,152.85,153.076,9436.19
27.10.2025 00:00:00 UTC+08:00,153.08,153.262,152.568,152.702,113504.23
28.10.2025 00:00:00 UTC+08:00,152.703,152.739,151.73,151.742,155440.11
29.10.2025 00:00:00 UTC+08:00,151.742,153.065,151.541,152.729,176836.35
30.10.2025 00:00:00 UTC+08:00,152.729,154.448,152.165,153.909,193241.41
31.10.2025 00:00:00 UTC+08:00,153.909,154.42,153.655,154.029,127609.99
02.11.2025 00:00:00 UTC+08:00,154.165,154.256,154.035,154.203,5097.82
03.11.2025 00:00:00 UTC+08:00,154.205,154.298,153.931,154.215,85948.67
04.11.2025 00:00:00 UTC+08:00,154.215,154.487,153.319,153.554,141133.78
05.11.2025 00:00:00 UTC+08:00,153.556,154.359,152.963,154.092,147466.41
06.11.2025 00:00:00 UTC+08:00,154.093,154.145,152.823,152.957,143831.01
07.11.2025 00:00:00 UTC+08:00,152.955,153.599,152.863,153.452,164726.78
09.11.2025 00:00:00 UTC+08:00,153.812,153.87,153.608,153.833,7233.41
10.11.2025 00:00:00 UTC+08:00,153.833,154.252,153.415,154.158,121020.31
11.11.2025 00:00:00 UTC+08:00,154.156,154.496,153.67,154.085,111411.07
12.11.2025 00:00:00 UTC+08:00,154.088,155.05,154.054,154.711,122707.01
13.11.2025 00:00:00 UTC+08:00,154.712,155.02,154.129,154.636,159222.64
14.11.2025 00:00:00 UTC+08:00,154.637,154.766,153.617,154.563,185029.37
16.11.2025 00:00:00 UTC+08:00,154.707,154.707,154.45,154.597,4639.88
17.11.2025 00:00:00 UTC+08:00,154.596,155.304,154.42,155.285,136714.87
18.11.2025 00:00:00 UTC+08:00,155.284,155.734,154.822,155.534,203277.36
19.11.2025 00:00:00 UTC+08:00,155.53,157.186,155.217,157.001,171097.97
20.11.2025 00:00:00 UTC+08:00,157.002,157.898,156.882,157.395,224352.46
21.11.2025 00:00:00 UTC+08:00,157.389,157.548,156.207,156.452,219095.87
23.11.2025 00:00:00 UTC+08:00,156.501,156.71,156.433,156.691,4726.5
24.11.2025 00:00:00 UTC+08:00,156.689,157.19,156.503,156.913,113143.56
25.11.2025 00:00:00 UTC+08:00,156.906,156.986,155.805,156.204,135186.36
26.11.2025 00:00:00 UTC+08:00,156.204,156.737,155.657,156.224,144093.56
27.11.2025 00:00:00 UTC+08:00,156.223,156.406,155.725,156.294,81099.62
28.11.2025 00:00:00 UTC+08:00,156.295,156.585,155.985,156.222,377761.23
30.11.2025 00:00:00 UTC+08:00,156.17,156.192,155.908,155.914,6614.25
01.12.2025 00:00:00 UTC+08:00,155.913,156.002,154.664,155.565,175721.24
02.12.2025 00:00:00 UTC+08:00,155.564,156.182,155.464,155.768,134916.37
03.12.2025 00:00:00 UTC+08:00,155.767,155.815,155.015,155.118,122237.6
04.12.2025 00:00:00 UTC+08:00,155.117,155.544,154.512,155.137,155573.62
05.12.2025 00:00:00 UTC+08:00,155.136,155.495,154.348,155.421,136721.41
07.12.2025 00:00:00 UTC+08:00,155.289,155.387,155.2,155.318,5484.54
08.12.2025 00:00:00 UTC+08:00,155.318,155.986,154.904,155.847,119128.66
09.12.2025 00:00:00 UTC+08:00,155.849,156.957,155.746,156.81,170062.66
10.12.2025 00:00:00 UTC+08:00,156.809,156.94,155.634,155.758,139009
11.12.2025 00:00:00 UTC+08:00,155.758,156.169,154.95,155.508,157181.75
12.12.2025 00:00:00 UTC+08:00,155.509,156.131,155.462,155.842,147143.47
